team,team href,venue
Arsenal,https://www.premierleague.com/clubs/1/Arsenal/overview,Emirates Stadium
Aston Villa,https://www.premierleague.com/clubs/2/Aston-Villa/overview,Villa Park
Barnsley,https://www.premierleague.com/clubs/30/Barnsley/overview,Oakwell
Birmingham City,https://www.premierleague.com/clubs/35/Birmingham-City/overview,St Andrews
Blackburn Rovers,https://www.premierleague.com/clubs/3/Blackburn-Rovers/overview,Ewood Park
Blackpool,https://www.premierleague.com/clubs/44/Blackpool/overview,Bloomfield Road
Bolton Wanderers,https://www.premierleague.com/clubs/27/Bolton-Wanderers/overview,Macron Stadium
AFC Bournemouth,https://www.premierleague.com/clubs/127/Bournemouth/overview,Vitality Stadium
Bradford City,https://www.premierleague.com/clubs/32/Bradford-City/overview,Valley Parade
Brighton and Hove Albion,https://www.premierleague.com/clubs/131/Brighton-and-Hove-Albion/overview,Amex Stadium
Burnley,https://www.premierleague.com/clubs/43/Burnley/overview,Turf Moor
Cardiff,https://www.premierleague.com/clubs/46/Cardiff-City/overview,Cardiff City Stadium
Charlton Athletic,https://www.premierleague.com/clubs/31/Charlton-Athletic/overview,The Valley
Chelsea,https://www.premierleague.com/clubs/4/Chelsea/overview,Stamford Bridge
Coventry City,https://www.premierleague.com/clubs/5/Coventry-City/overview,Highfield Road
Crystal Palace,https://www.premierleague.com/clubs/6/Crystal-Palace/overview,Selhurst Park
Derby County,https://www.premierleague.com/clubs/28/Derby-County/overview,Pride Park Stadium
Everton,https://www.premierleague.com/clubs/7/Everton/overview,Goodison Park
Fulham,https://www.premierleague.com/clubs/34/Fulham/overview,Craven Cottage
Huddersfield Town,https://www.premierleague.com/clubs/159/Huddersfield-Town/overview,John Smith's Stadium
Hull City,https://www.premierleague.com/clubs/41/Hull-City/overview,KCOM Stadium
Ipswich Town,https://www.premierleague.com/clubs/8/Ipswich-Town/overview,Portman Road
Leeds United,https://www.premierleague.com/clubs/9/Leeds-United/overview,Elland Road
Leicester City,https://www.premierleague.com/clubs/26/Leicester-City/overview,King Power Stadium
Liverpool,https://www.premierleague.com/clubs/10/Liverpool/overview,Anfield
Manchester City,https://www.premierleague.com/clubs/11/Manchester-City/overview,Etihad Stadium
Manchester United,https://www.premierleague.com/clubs/12/Manchester-United/overview,Old Trafford
Middlesbrough,https://www.premierleague.com/clubs/13/Middlesbrough/overview,Riverside Stadium
Newcastle United,https://www.premierleague.com/clubs/23/Newcastle-United/overview,St. James' Park
Norwich City,https://www.premierleague.com/clubs/14/Norwich-City/overview,Carrow Road
Nottingham Forest,https://www.premierleague.com/clubs/15/Nottingham-Forest/overview,City Ground
Oldham Athletic,https://www.premierleague.com/clubs/16/Oldham-Athletic/overview,Boundary Park
Portsmouth,https://www.premierleague.com/clubs/37/Portsmouth/overview,Fratton Park
Queens Park Rangers,https://www.premierleague.com/clubs/17/Queens-Park-Rangers/overview,Loftus Road
Reading,https://www.premierleague.com/clubs/40/Reading/overview,Madejski Stadium
Sheff Utd,https://www.premierleague.com/clubs/18/Sheffield-United/overview,Bramall Lane
Sheffield Wednesday,https://www.premierleague.com/clubs/19/Sheffield-Wednesday/overview,Hillsborough
Southampton,https://www.premierleague.com/clubs/20/Southampton/overview,St. Mary's Stadium
Stoke City,https://www.premierleague.com/clubs/42/Stoke-City/overview,bet365 Stadium
Sunderland,https://www.premierleague.com/clubs/29/Sunderland/overview,Stadium of Light
Swansea City,https://www.premierleague.com/clubs/45/Swansea-City/overview,Liberty Stadium
Swindon Town,https://www.premierleague.com/clubs/24/Swindon-Town/overview,County Ground
Tottenham Hotspur,https://www.premierleague.com/clubs/21/Tottenham-Hotspur/overview,Wembley Stadium
Watford,https://www.premierleague.com/clubs/33/Watford/overview,Vicarage Road
West Bromwich Albion,https://www.premierleague.com/clubs/36/West-Bromwich-Albion/overview,The Hawthorns
West Ham United,https://www.premierleague.com/clubs/25/West-Ham-United/overview,London Stadium
Wighan Athletic,https://www.premierleague.com/clubs/39/Wigan-Athletic/overview,DW Stadium
Wimbledon,https://www.premierleague.com/clubs/22/Wimbledon/overview,Selhurst Park
Wolverhampton Wanderers,https://www.premierleague.com/clubs/38/Wolverhampton-Wanderers/overview,Molineux Stadium
